,General Mental Ability,Non_Invested Abilities,Fluid Abilities,Memory Abilities,Long Term Storage and Retrieval Abilities,Learning Efficiency Abilities,Retrieval Fluency Abilities,Short Term Memory Abilities,Visual Processing Abilities,Processing Speed Abilities,Invested_Acquired Abilities,Quantitative Abilities,Verbal Abilities,Domain Specific Knowledge Abilities,Mean across All Abilities
Industriousness,0.33,0.09,0.01,0.1,0.1,0.06,0.13,0.11,0.07,0.18,0.24,0.3,0.31,0.21,0.16
Orderliness,-0.06,0.01,-0.08,0.06,0.06,0.12,0.07,0.05,-0.05,0.09,-0.01,-0.1,0.02,-0.01,-0.01
Achievement,0.04,0.05,0.02,0.08,0.08,0.21,-0.01,0.08,0.04,0.05,0.01,0.01,0.04,-0.11,0.04
Persistence,0.04,0.07,0.03,0.06,0.08,0.0,0.08,0.04,0.11,0.11,0.04,0.0,0.04,0.0,0.06
Dependability,0.15,0.07,0.0,0.09,0.09,0.17,0.07,0.12,0.1,0.08,0.2,0.19,0.16,0.24,0.12
Cautiousness,-0.08,-0.02,-0.03,-0.01,-0.01,0.07,-0.05,-0.0,0.0,-0.01,-0.1,-0.07,-0.09,-0.11,-0.05
Order,0.16,0.05,-0.09,0.06,0.04,0.11,0.02,0.08,0.11,0.17,0.17,0.13,0.24,0.12,0.11
Procrastination Avoidance,-0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.22,0.08,0.0,0.08
cd.-Routine Seeking,-0.13,-0.15,-0.18,-0.15,-0.15,-0.15,0.0,0.0,-0.15,-0.14,-0.28,-0.28,-0.22,-0.35,-0.21
cd.-Cold Efficiency,0.0,-0.01,0.1,-0.08,-0.08,0.0,-0.08,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-0.01
cd.-Judging-Perceiving,-0.11,-0.12,-0.14,-0.12,-0.12,0.0,-0.12,0.0,-0.09,0.0,-0.04,0.0,-0.04,0.0,-0.09
cd.-Self Control,0.01,0.02,0.0,0.04,0.0,0.0,0.0,0.04,0.01,0.07,0.04,0.01,-0.03,0.09,0.02
cd.-Type A,0.03,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.04,0.03
cd.-Achievement via Independence,0.37,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.27,0.14,0.37,0.4,0.26,0.57,0.31
cd.-Rugged Individualism,0.12,0.07,0.08,0.1,0.12,0.0,0.12,0.07,0.1,-0.03,0.15,0.26,0.14,0.16,0.1
EXTRAVERSION,-0.01,0.03,-0.01,0.06,0.07,0.03,0.11,0.01,-0.02,0.03,-0.02,-0.09,0.02,-0.04,0.01
Enthusiasm,0.11,0.14,0.08,0.16,0.14,0.19,0.14,0.16,0.1,0.17,0.13,0.0,0.12,0.17,0.13
Assertiveness,-0.03,0.07,-0.02,0.1,0.1,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Dominance,0.11,0.07,0.04,0.09,0.12,0.0,0.12,0.06,0.03,0.06,0.09,0.14,0.11,0.07,0.06
Activity,0.23,0.1,0.07,0.1,0.11,0.03,0.15,0.08,0.1,0.15,0.21,0.2,0.22,0.21,0.14
Positive Emotionality,0.04,0.09,0.04,0.11,0.11,0.15,0.12,0.1,0.1,0.09,0.04,0.0,0.04,0.0,0.07
Sociability,0.1,0.04,-0.05,0.08,0.12,0.0,0.12,0.04,-0.03,0.17,0.1,0.06,0.17,0.07,0.07
Sensation Seeking,0.06,0.02,0.01,0.02,0.02,-0.03,0.05,0.0,0.02,0.01,0.07,0.02,0.07,0.07,0.04
cd.-Optimism,0.14,0.1,0.04,0.13,0.14,0.15,0.15,0.14,0.03,-0.0,0.11,0.25,0.04,0.22,0.1
cd.-Ambition,0.06,0.1,-0.01,0.0,0.0,0.0,0.0,0.0,-0.03,0.45,0.15,0.18,0.2,0.1,0.11
cd.-Ambitious Risk Taking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd.-Risk Taking,0.03,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
cd.-Managerial Potential,0.27,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.15
cd.-Grandiosity and Intimidation,-0.11,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.04,-0.03,0.06,0.06,-0.01,0.09,0.03
cd.-Narcissism,0.03,-0.04,-0.03,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.0,-0.02
cd.-Restrained Expression,0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.1,0.3,0.12
OPENNESS,0.26,0.14,0.19,0.15,0.16,0.13,0.22,0.14,0.11,0.09,0.2,0.07,0.29,0.18,0.16
Experiencing,0.22,0.05,-0.01,0.08,0.06,-0.06,0.1,0.17,-0.04,0.17,0.17,0.17,0.28,0.1,0.11
Intellect,0.26,0.14,0.16,0.13,0.11,0.22,0.11,0.21,0.12,0.0,0.17,0.15,0.21,0.12,0.15
Need for Cognition,0.28,0.16,0.21,0.14,0.12,0.22,0.02,0.17,0.0,0.14,0.29,0.0,0.29,0.0,0.21
Ideas,0.4,0.21,0.17,0.18,0.16,-0.01,0.26,0.22,0.26,0.19,0.39,0.3,0.38,0.45,0.28
Curiosity,0.16,0.14,0.18,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.26,0.2,0.24,0.3,0.18
Introspection,0.19,0.04,0.07,0.11,0.11,0.0,0.11,0.0,0.01,-0.08,0.21,0.21,0.17,0.24,0.12
Fantasy,0.08,0.08,0.08,0.09,0.1,-0.04,0.16,0.07,0.12,0.01,0.13,0.0,0.13,0.0,0.09
Aesthetics,0.07,0.02,-0.03,0.1,0.09,-0.01,0.15,0.1,-0.02,-0.01,0.0,-0.15,0.15,-0.15,0.01
Non Traditional,0.2,0.11,0.19,0.09,0.12,0.09,0.12,0.02,0.11,0.1,0.24,0.0,0.24,0.0,0.12
Variety Seeking,0.04,0.09,0.04,0.09,0.09,-0.02,0.15,0.09,0.12,0.11,0.0,0.0,0.02,-0.04,0.06
cd.-Openness to Emotions,0.06,0.12,0.07,0.14,0.16,0.02,0.23,0.11,0.11,0.12,0.15,0.0,0.15,0.0,0.11
cd.-Tolerance,0.22,0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.38,0.34,0.32,0.45,0.2
cd.-Innovation,0.08,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.08,0.01,0.12,0.1,0.09
cd.-Creative Personality,0.25,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.33,0.0,0.33,0.0,0.24
cd.-Independent of Conventions and Others,0.14,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.13,0.0,0.12
cd.-Resourcefulness,0.01,0.23,0.26,0.23,0.23,0.23,0.0,0.0,0.1,0.28,0.35,0.0,0.35,0.0,0.21
GENERAL FACTOR OF PERSONALITY,0.36,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,-0.01,0.06
Factor Alpha,0.1,0.07,0.06,0.09,0.09,0.13,0.07,0.12,0.01,0.13,0.07,0.27,0.04,0.01,0.06
Factor Beta,0.2,0.06,0.11,0.07,0.05,-0.04,0.1,0.15,0.03,0.04,0.23,0.33,0.24,0.18,0.13
